Starting... 
2024-07-23 20:12:33.699380: Namespace(data_dir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best', json_dir='/data4/nnUNet_raw_data_base/nnUNet_raw_data/Task018_AbdominalOrganSegmentation/', json_list='dataset.json', logdir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best', logfile='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best/log_2024_7_23_20_12_33.txt', method='nnUnet', niidir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best/output_nii', organs_file='organs14BTCV.key', out_channels=14) 
2024-07-23 20:12:33.887018: Inference on case ABD_005.nii.gz 
2024-07-23 20:13:22.594650:  Organ 2 precision: 0.9501121217528645 
2024-07-23 20:13:22.594695:  Organ 2 recall: 0.9770183438728083 
2024-07-23 20:13:23.604629:  Organ 3 Dice: 0.9584753513336182 
2024-07-23 20:13:23.604822:  Organ 3 HD: 1.4142135623730951 
2024-07-23 20:13:23.604875:  Organ 3 IOU: 0.9202618085099766 
2024-07-23 20:13:23.604921:  Organ 3 precision: 0.9617906602303651 
2024-07-23 20:13:23.604965:  Organ 3 recall: 0.9551828254196179 
2024-07-23 20:13:24.576936:  Organ 4 Dice: 0.9336626529693604 
2024-07-23 20:13:24.577130:  Organ 4 HD: 2.8284271247461903 
2024-07-23 20:13:24.577183:  Organ 4 IOU: 0.8755790154715184 
2024-07-23 20:13:24.577228:  Organ 4 precision: 0.942158340128574 
2024-07-23 20:13:24.577270:  Organ 4 recall: 0.925318761426845 
2024-07-23 20:13:25.549112:  Organ 5 Dice: 0.88255774974823 
2024-07-23 20:13:25.549306:  Organ 5 HD: 1.4142135623730951 
2024-07-23 20:13:25.549357:  Organ 5 IOU: 0.7898016279376887 
2024-07-23 20:13:25.549401:  Organ 5 precision: 0.8809929079702228 
2024-07-23 20:13:25.549443:  Organ 5 recall: 0.8841281140439458 
2024-07-23 20:13:27.513342:  Organ 6 Dice: 0.9693323373794556 
2024-07-23 20:13:27.513556:  Organ 6 HD: 4.123105625617661 
2024-07-23 20:13:27.513608:  Organ 6 IOU: 0.9404896886970388 
2024-07-23 20:13:27.513653:  Organ 6 precision: 0.964734001581932 
2024-07-23 20:13:27.513696:  Organ 6 recall: 0.9739746890387547 
2024-07-23 20:13:28.590986:  Organ 7 Dice: 0.9288202524185181 
2024-07-23 20:13:28.591180:  Organ 7 HD: 2.23606797749979 
2024-07-23 20:13:28.591517:  Organ 7 IOU: 0.8671002827048176 
2024-07-23 20:13:28.591567:  Organ 7 precision: 0.9348115242151928 
2024-07-23 20:13:28.591611:  Organ 7 recall: 0.9229052985972124 
2024-07-23 20:13:29.697417:  Organ 8 Dice: 0.9487751722335815 
2024-07-23 20:13:29.697610:  Organ 8 HD: 41.80908992073375 
2024-07-23 20:13:29.697662:  Organ 8 IOU: 0.9025425447205981 
2024-07-23 20:13:29.697708:  Organ 8 precision: 0.9737498359403027 
2024-07-23 20:13:29.697752:  Organ 8 recall: 0.9250495282795959 
2024-07-23 20:13:30.694252:  Organ 9 Dice: 0.8960211277008057 
2024-07-23 20:13:30.694441:  Organ 9 HD: 3.0 
2024-07-23 20:13:30.694502:  Organ 9 IOU: 0.8116288331758864 
2024-07-23 20:13:30.694548:  Organ 9 precision: 0.8572029443025581 
2024-07-23 20:13:30.694592:  Organ 9 recall: 0.938521759168388 
2024-07-23 20:13:31.756744:  Organ 10 Dice: 0.8267080783843994 
2024-07-23 20:13:31.756942:  Organ 10 HD: 4.242640687119285 
2024-07-23 20:13:31.756994:  Organ 10 IOU: 0.7046056505999075 
2024-07-23 20:13:31.757039:  Organ 10 precision: 0.8712700146731532 
2024-07-23 20:13:31.757083:  Organ 10 recall: 0.7864827134873263 
2024-07-23 20:13:32.795561:  Organ 11 Dice: 0.8867897987365723 
2024-07-23 20:13:32.795759:  Organ 11 HD: 3.0 
2024-07-23 20:13:32.795811:  Organ 11 IOU: 0.7966058635748676 
2024-07-23 20:13:32.795866:  Organ 11 precision: 0.9131308425076061 
2024-07-23 20:13:32.795909:  Organ 11 recall: 0.8619258363721031 
2024-07-23 20:13:33.758134:  Organ 12 Dice: 0.6569051742553711 
2024-07-23 20:13:33.758332:  Organ 12 HD: 3.7416573867739413 
2024-07-23 20:13:33.758689:  Organ 12 IOU: 0.4890981194791966 
2024-07-23 20:13:33.758739:  Organ 12 precision: 0.9088397798449376 
2024-07-23 20:13:33.758783:  Organ 12 recall: 0.5143303829373091 
2024-07-23 20:13:34.727062:  Organ 13 Dice: 0.7539361119270325 
2024-07-23 20:13:34.727255:  Organ 13 HD: 4.135059131767812 
2024-07-23 20:13:34.727309:  Organ 13 IOU: 0.6050541530503459 
2024-07-23 20:13:34.727355:  Organ 13 precision: 0.8858350957408293 
2024-07-23 20:13:34.727400:  Organ 13 recall: 0.6562255299286393 
2024-07-23 20:13:34.727697: Mean Organ Dice: 0.8886002898216248 
2024-07-23 20:13:34.727784: Mean Organ mean_HD: 6.8936774599644375 
2024-07-23 20:13:34.727843: Mean Organ mean_IOU: 0.8100340255085162 
