Starting... 
2023-12-04 12:51:58.778794: Namespace(data_dir='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018/', json_dir='/data4/nnUNet_raw_data_base/nnUNet_raw_data/Task018_AbdominalOrganSegmentation/', json_list='dataset.json', logdir='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018/', logfile='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018//log_2023_12_4_12_51_58.txt', method='nnUnet', niidir='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018/output_nii', organs_file='organs14.key', out_channels=14) 
2023-12-04 12:51:59.245007: Inference on case ABD_005.nii.gz 
2023-12-04 12:53:16.448851:  Organ 1 Dice: 0.9644699692726135 
2023-12-04 12:53:16.449025:  Organ 1 HD: 1.4142135623730951 
2023-12-04 12:53:16.449076:  Organ 1 IOU: 0.9313780555181512 
2023-12-04 12:53:16.449119:  Organ 1 precision: 0.9717820173162983 
2023-12-04 12:53:16.449160:  Organ 1 recall: 0.9572671132886099 
2023-12-04 12:53:18.468494:  Organ 2 Dice: 0.9641222953796387 
2023-12-04 12:53:18.468678:  Organ 2 HD: 1.4142135623730951 
2023-12-04 12:53:18.468728:  Organ 2 IOU: 0.9307298471688243 
2023-12-04 12:53:18.468770:  Organ 2 precision: 0.9767695852185708 
2023-12-04 12:53:18.468811:  Organ 2 recall: 0.9517983376095861 
2023-12-04 12:53:20.507651:  Organ 3 Dice: 0.9637082815170288 
2023-12-04 12:53:20.507832:  Organ 3 HD: 1.4142135623730951 
2023-12-04 12:53:20.507883:  Organ 3 IOU: 0.929958532976517 
2023-12-04 12:53:20.507926:  Organ 3 precision: 0.9724910388474957 
2023-12-04 12:53:20.507967:  Organ 3 recall: 0.9550827874672904 
2023-12-04 12:53:22.451230:  Organ 4 Dice: 0.8192455768585205 
2023-12-04 12:53:22.451408:  Organ 4 HD: 2.0 
2023-12-04 12:53:22.451458:  Organ 4 IOU: 0.6938323426677948 
2023-12-04 12:53:22.451502:  Organ 4 precision: 0.8459132909084388 
2023-12-04 12:53:22.451543:  Organ 4 recall: 0.7942079276735514 
2023-12-04 12:53:24.397892:  Organ 5 Dice: 0.8903771638870239 
2023-12-04 12:53:24.398073:  Organ 5 HD: 2.449489742783178 
2023-12-04 12:53:24.398124:  Organ 5 IOU: 0.8024142784548514 
2023-12-04 12:53:24.398168:  Organ 5 precision: 0.8713309208915714 
2023-12-04 12:53:24.398210:  Organ 5 recall: 0.9102747207340379 
2023-12-04 12:53:27.880666:  Organ 6 Dice: 0.9756628274917603 
2023-12-04 12:53:27.880855:  Organ 6 HD: 2.0 
2023-12-04 12:53:27.880905:  Organ 6 IOU: 0.9524821545816262 
2023-12-04 12:53:27.880949:  Organ 6 precision: 0.9701445821795287 
2023-12-04 12:53:27.880991:  Organ 6 recall: 0.981244259583669 
2023-12-04 12:53:30.141516:  Organ 7 Dice: 0.9476072192192078 
2023-12-04 12:53:30.141696:  Organ 7 HD: 2.0 
2023-12-04 12:53:30.141747:  Organ 7 IOU: 0.9004311097318303 
2023-12-04 12:53:30.141790:  Organ 7 precision: 0.9571312163182492 
2023-12-04 12:53:30.141831:  Organ 7 recall: 0.938270872633225 
2023-12-04 12:53:32.257757:  Organ 8 Dice: 0.920280396938324 
2023-12-04 12:53:32.257946:  Organ 8 HD: 2.0 
2023-12-04 12:53:32.257996:  Organ 8 IOU: 0.8523327377602631 
2023-12-04 12:53:32.258039:  Organ 8 precision: 0.8907916395929355 
2023-12-04 12:53:32.258081:  Organ 8 recall: 0.9517883535394933 
2023-12-04 12:53:34.290080:  Organ 9 Dice: 0.8960059285163879 
2023-12-04 12:53:34.290267:  Organ 9 HD: 4.242640687119285 
2023-12-04 12:53:34.290318:  Organ 9 IOU: 0.8116039345385282 
2023-12-04 12:53:34.290362:  Organ 9 precision: 0.8921806266379207 
2023-12-04 12:53:34.290404:  Organ 9 recall: 0.8998641782886599 
2023-12-04 12:53:36.487013:  Organ 10 Dice: 0.7496805191040039 
2023-12-04 12:53:36.487200:  Organ 10 HD: 8.0 
2023-12-04 12:53:36.487250:  Organ 10 IOU: 0.599591201806159 
2023-12-04 12:53:36.487294:  Organ 10 precision: 0.81177976960399 
2023-12-04 12:53:36.487336:  Organ 10 recall: 0.696407058430867 
2023-12-04 12:53:38.515910:  Organ 11 Dice: 0.8258311152458191 
2023-12-04 12:53:38.516097:  Organ 11 HD: 3.0 
